person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_age_bin,person_income_bin,_row_id
23,140250,MORTGAGE,7.0,DEBTCONSOLIDATION,B,23000,10.65,0,0.06,N,3.0,18-25,"(138000.0, 140250.0]",15
23,120000,RENT,0.0,EDUCATION,A,23000,7.9,0,0.29,N,4.0,18-25,"(86000.0, 138000.0]",16
23,92111,RENT,7.0,MEDICAL,F,23000,20.04,1,0.32,N,4.0,18-25,"(86000.0, 138000.0]",17
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,23000,18.25,1,0.31,N,4.0,18-25,"(86000.0, 138000.0]",18
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2.0,18-25,"(3999.999, 35000.0]",19
25,140250,RENT,2.0,VENTURE,A,23000,7.49,0,0.22,N,4.0,18-25,"(138000.0, 140250.0]",20
25,137000,RENT,9.0,PERSONAL,E,23000,16.77,0,0.25,Y,2.0,18-25,"(86000.0, 138000.0]",21
22,65000,RENT,4.0,EDUCATION,D,23000,17.58,1,0.44000000000000006,N,4.0,18-25,"(63000.0, 86000.0]",22
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3.0,18-25,"(3999.999, 35000.0]",23
22,80000,RENT,3.0,PERSONAL,D,23000,14.54,1,0.42,Y,4.0,18-25,"(63000.0, 86000.0]",24
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,23000,12.68,1,0.44000000000000006,N,3.0,18-25,"(63000.0, 86000.0]",25
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3.0,18-25,"(3999.999, 35000.0]",26
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3.0,18-25,"(3999.999, 35000.0]",27
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,23000,9.99,1,0.44000000000000006,N,3.0,18-25,"(63000.0, 86000.0]",28
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2.0,18-25,"(3999.999, 35000.0]",29
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3.0,18-25,"(3999.999, 35000.0]",30
25,120000,RENT,2.0,VENTURE,A,23000,6.62,0,0.27,N,2.0,18-25,"(86000.0, 138000.0]",31
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,23000,14.17,1,0.33,Y,3.0,26-35,"(86000.0, 138000.0]",32
25,140250,RENT,2.0,DEBTCONSOLIDATION,C,23000,13.85,0,0.08,N,3.0,18-25,"(138000.0, 140250.0]",33
26,140250,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4.0,26-35,"(138000.0, 140250.0]",34
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4.0,18-25,"(3999.999, 35000.0]",35
22,48000,RENT,1.0,EDUCATION,E,23000,18.39,1,0.44000000000000006,N,2.0,18-25,"(35000.0, 49000.0]",36
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,23000,14.54,1,0.44000000000000006,Y,3.0,18-25,"(63000.0, 86000.0]",37
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,23000,16.89,1,0.4,Y,4.0,18-25,"(63000.0, 86000.0]",38
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,23000,10.99,1,0.42,N,4.0,18-25,"(63000.0, 86000.0]",39
26,62050,RENT,6.0,MEDICAL,E,23000,17.99,1,0.41,N,2.0,26-35,"(49000.0, 63000.0]",40
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3.0,18-25,"(3999.999, 35000.0]",41
26,140250,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4.0,26-35,"(138000.0, 140250.0]",42
23,140250,OWN,1.0,EDUCATION,F,23000,19.41,0,0.08,Y,2.0,18-25,"(138000.0, 140250.0]",43
26,140250,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4.0,26-35,"(138000.0, 140250.0]",44
26,140250,MORTGAGE,0.0,EDUCATION,D,23000,15.33,0,0.08,N,3.0,26-35,"(138000.0, 140250.0]",45
25,140250,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3.0,18-25,"(138000.0, 140250.0]",46
26,80690,RENT,8.0,PERSONAL,A,23000,7.49,1,0.37,N,3.0,26-35,"(63000.0, 86000.0]",47
22,66300,RENT,4.0,MEDICAL,B,23000,12.69,1,0.38,N,3.0,18-25,"(63000.0, 86000.0]",48
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,23000,6.62,1,0.34,N,3.0,26-35,"(86000.0, 138000.0]",49
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,23000,10.99,1,0.38,Y,4.0,18-25,"(63000.0, 86000.0]",50
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,23000,18.62,1,0.38,Y,3.0,18-25,"(63000.0, 86000.0]",51
23,92004,RENT,6.0,PERSONAL,C,23000,15.23,1,0.33,Y,3.0,18-25,"(86000.0, 138000.0]",52
23,97000,RENT,7.0,VENTURE,B,23000,10.65,1,0.31,N,2.0,18-25,"(86000.0, 138000.0]",53
25,120000,RENT,9.0,EDUCATION,A,23000,7.9,0,0.25,N,4.0,18-25,"(86000.0, 138000.0]",54
26,140250,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3.0,26-35,"(138000.0, 140250.0]",55
26,140250,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3.0,26-35,"(138000.0, 140250.0]",56
23,140250,OWN,3.0,PERSONAL,A,23000,10.99,0,0.13,N,4.0,18-25,"(138000.0, 140250.0]",57
25,128000,RENT,9.0,PERSONAL,A,23000,7.29,0,0.23,N,4.0,18-25,"(86000.0, 138000.0]",58
24,12000,OWN,2.0,VENTURE,E,1750,10.99,0,0.15,Y,3.0,18-25,"(3999.999, 35000.0]",59
21,131000,RENT,0.0,VENTURE,A,23000,5.99,0,0.23,N,4.0,18-25,"(86000.0, 138000.0]",60
22,140250,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2.0,18-25,"(138000.0, 140250.0]",61
26,140250,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4.0,26-35,"(138000.0, 140250.0]",62
25,140250,MORTGAGE,9.0,MEDICAL,D,23000,15.7,1,0.1,N,2.0,18-25,"(138000.0, 140250.0]",63
22,70000,RENT,6.0,EDUCATION,D,23000,15.99,1,0.42,N,3.0,18-25,"(63000.0, 86000.0]",64
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3.0,18-25,"(3999.999, 35000.0]",65
26,140250,OWN,10.0,HOMEIMPROVEMENT,B,23000,10.99,0,0.11,N,3.0,26-35,"(138000.0, 140250.0]",66
25,140250,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2.0,18-25,"(138000.0, 140250.0]",67
24,140250,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2.0,18-25,"(138000.0, 140250.0]",68
25,140250,RENT,2.0,MEDICAL,C,23000,13.49,0,0.1,N,4.0,18-25,"(138000.0, 140250.0]",69
25,12000,OWN,0.0,MEDICAL,C,3000,10.99,1,0.25,N,3.0,18-25,"(3999.999, 35000.0]",70
22,56950,RENT,6.0,MEDICAL,A,23000,10.99,1,0.44000000000000006,N,2.0,18-25,"(49000.0, 63000.0]",71
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3.0,18-25,"(3999.999, 35000.0]",72
23,65000,RENT,2.0,EDUCATION,A,23000,7.9,1,0.43,N,2.0,18-25,"(63000.0, 86000.0]",73
26,85000,RENT,2.0,VENTURE,A,23000,7.49,1,0.33,N,3.0,26-35,"(63000.0, 86000.0]",74
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.44000000000000006,N,3.0,26-35,"(3999.999, 35000.0]",75
22,88000,RENT,6.0,VENTURE,B,23000,9.91,1,0.32,N,3.0,18-25,"(86000.0, 138000.0]",76
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4.0,18-25,"(3999.999, 35000.0]",77
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2.0,18-25,"(3999.999, 35000.0]",78
24,83004,RENT,0.0,VENTURE,D,23000,15.99,1,0.34,Y,4.0,18-25,"(63000.0, 86000.0]",79
24,140250,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3.0,18-25,"(138000.0, 140250.0]",80
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,23000,12.69,0,0.28,N,3.0,18-25,"(86000.0, 138000.0]",81
26,110000,RENT,10.0,EDUCATION,A,23000,8.9,0,0.25,N,2.0,26-35,"(86000.0, 138000.0]",82
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,10.99,1,0.23,N,4.0,26-35,"(3999.999, 35000.0]",83
22,108000,RENT,6.0,EDUCATION,B,23000,10.99,1,0.26,N,4.0,18-25,"(86000.0, 138000.0]",84
23,140250,RENT,7.0,DEBTCONSOLIDATION,B,23000,11.11,0,0.19,N,2.0,18-25,"(138000.0, 140250.0]",85
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,23000,10.99,1,0.4,N,2.0,18-25,"(63000.0, 86000.0]",86
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3.0,18-25,"(3999.999, 35000.0]",87
22,70000,RENT,4.0,EDUCATION,C,23000,13.06,1,0.39,Y,3.0,18-25,"(63000.0, 86000.0]",88
22,140250,OWN,6.0,PERSONAL,B,23000,10.99,0,0.1,N,2.0,18-25,"(138000.0, 140250.0]",89
26,73200,RENT,5.0,VENTURE,D,23000,15.62,1,0.37,Y,2.0,26-35,"(63000.0, 86000.0]",90
24,83000,RENT,5.0,PERSONAL,C,23000,13.49,1,0.33,Y,2.0,18-25,"(63000.0, 86000.0]",91
24,73399,RENT,0.0,VENTURE,D,23000,10.99,1,0.37,N,3.0,18-25,"(63000.0, 86000.0]",92
23,62500,RENT,7.0,MEDICAL,B,23000,11.71,1,0.42,N,2.0,18-25,"(49000.0, 63000.0]",93
23,120000,RENT,1.0,EDUCATION,B,23000,12.69,0,0.21,N,3.0,18-25,"(86000.0, 138000.0]",94
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3.0,18-25,"(3999.999, 35000.0]",95
22,60000,RENT,0.0,VENTURE,B,23000,10.99,1,0.42,N,3.0,18-25,"(49000.0, 63000.0]",96
25,140250,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4.0,18-25,"(138000.0, 140250.0]",97
24,140250,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4.0,18-25,"(138000.0, 140250.0]",98
26,140250,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3.0,26-35,"(138000.0, 140250.0]",99
25,140250,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3.0,18-25,"(138000.0, 140250.0]",100
26,140250,MORTGAGE,0.0,MEDICAL,C,23000,14.17,0,0.11,Y,2.0,26-35,"(138000.0, 140250.0]",101
25,140250,MORTGAGE,5.0,MEDICAL,C,23000,13.99,0,0.15,N,4.0,18-25,"(138000.0, 140250.0]",102
23,83000,RENT,7.0,EDUCATION,B,23000,10.99,1,0.3,N,3.0,18-25,"(63000.0, 86000.0]",103
22,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,N,4.0,18-25,"(3999.999, 35000.0]",104
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3.0,18-25,"(3999.999, 35000.0]",105
21,42500,RENT,3.0,EDUCATION,C,23000,12.73,1,0.44000000000000006,Y,3.0,18-25,"(35000.0, 49000.0]",106
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,23000,10.99,1,0.44000000000000006,N,3.0,18-25,"(35000.0, 49000.0]",107
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4.0,18-25,"(3999.999, 35000.0]",108
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3.0,18-25,"(3999.999, 35000.0]",109
26,140250,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4.0,26-35,"(138000.0, 140250.0]",110
25,140250,MORTGAGE,0.0,HOMEIMPROVEMENT,E,23000,19.91,0,0.13,Y,2.0,18-25,"(138000.0, 140250.0]",111
26,140250,MORTGAGE,6.0,EDUCATION,B,23000,10.65,1,0.16,N,2.0,26-35,"(138000.0, 140250.0]",112
24,140250,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,N,4.0,18-25,"(138000.0, 140250.0]",113
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4.0,18-25,"(3999.999, 35000.0]",114
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2.0,18-25,"(3999.999, 35000.0]",115
22,42000,RENT,6.0,MEDICAL,D,23000,14.59,1,0.44000000000000006,Y,2.0,18-25,"(35000.0, 49000.0]",116
26,48000,RENT,2.0,EDUCATION,B,23000,9.64,1,0.44000000000000006,N,4.0,26-35,"(35000.0, 49000.0]",117
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3.0,18-25,"(3999.999, 35000.0]",118
22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3.0,18-25,"(3999.999, 35000.0]",119
25,42360,RENT,1.0,EDUCATION,E,23000,16.35,1,0.44000000000000006,Y,3.0,18-25,"(35000.0, 49000.0]",120
21,49000,RENT,4.0,EDUCATION,B,23000,10.99,1,0.44000000000000006,N,2.0,18-25,"(35000.0, 49000.0]",121
25,140250,MORTGAGE,0.0,VENTURE,F,23000,18.67,0,0.11,N,2.0,18-25,"(138000.0, 140250.0]",122
26,140250,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4.0,26-35,"(138000.0, 140250.0]",123
23,140250,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2.0,18-25,"(138000.0, 140250.0]",124
26,140250,MORTGAGE,2.0,VENTURE,B,23000,10.08,0,0.11,N,2.0,26-35,"(138000.0, 140250.0]",125
22,49464,RENT,5.0,PERSONAL,B,23000,11.83,1,0.44000000000000006,N,3.0,18-25,"(49000.0, 63000.0]",126
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,23000,7.9,1,0.44000000000000006,N,3.0,18-25,"(49000.0, 63000.0]",127
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,23000,5.99,1,0.44000000000000006,N,2.0,18-25,"(49000.0, 63000.0]",128
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,23000,15.33,1,0.44000000000000006,N,2.0,18-25,"(35000.0, 49000.0]",129
23,50000,RENT,1.0,VENTURE,B,23000,11.83,1,0.44000000000000006,N,4.0,18-25,"(49000.0, 63000.0]",130
22,50004,RENT,0.0,VENTURE,B,23000,10.36,1,0.44000000000000006,N,2.0,18-25,"(49000.0, 63000.0]",131
22,50004,RENT,3.0,VENTURE,C,23000,12.23,1,0.44000000000000006,N,3.0,18-25,"(49000.0, 63000.0]",132
22,52000,RENT,2.0,EDUCATION,B,23000,11.11,1,0.44000000000000006,N,4.0,18-25,"(49000.0, 63000.0]",133
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4.0,18-25,"(3999.999, 35000.0]",134
24,140250,MORTGAGE,1.0,EDUCATION,B,23000,11.58,0,0.11,N,2.0,18-25,"(138000.0, 140250.0]",135
23,140250,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3.0,18-25,"(138000.0, 140250.0]",136
25,140250,MORTGAGE,2.0,EDUCATION,D,23000,16.07,0,0.12,N,3.0,18-25,"(138000.0, 140250.0]",137
26,140250,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2.0,26-35,"(138000.0, 140250.0]",138
23,140250,MORTGAGE,7.0,MEDICAL,C,23000,14.79,0,0.16,Y,3.0,18-25,"(138000.0, 140250.0]",139
26,140250,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2.0,26-35,"(138000.0, 140250.0]",140
23,52000,RENT,1.0,PERSONAL,C,23000,13.22,1,0.44000000000000006,N,2.0,18-25,"(49000.0, 63000.0]",141
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,23000,11.86,1,0.44000000000000006,N,4.0,26-35,"(35000.0, 49000.0]",142
22,53000,RENT,5.0,EDUCATION,C,23000,13.43,1,0.44000000000000006,Y,4.0,18-25,"(49000.0, 63000.0]",143
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,23000,15.28,1,0.44000000000000006,Y,2.0,26-35,"(35000.0, 49000.0]",144
23,47000,RENT,1.0,VENTURE,E,23000,17.93,1,0.44000000000000006,N,2.0,18-25,"(35000.0, 49000.0]",145
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4.0,18-25,"(3999.999, 35000.0]",146
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4.0,18-25,"(3999.999, 35000.0]",147
22,140250,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4.0,18-25,"(138000.0, 140250.0]",148
26,140250,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4.0,26-35,"(138000.0, 140250.0]",149
26,48000,RENT,5.0,VENTURE,F,23000,18.43,1,0.44000000000000006,N,2.0,26-35,"(35000.0, 49000.0]",150
22,54996,RENT,6.0,EDUCATION,B,23000,10.99,1,0.44000000000000006,N,4.0,18-25,"(49000.0, 63000.0]",151
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,23000,10.99,1,0.44000000000000006,Y,4.0,18-25,"(49000.0, 63000.0]",152
23,55000,RENT,4.0,EDUCATION,B,23000,11.36,1,0.44000000000000006,N,3.0,18-25,"(49000.0, 63000.0]",153
23,55000,RENT,4.0,EDUCATION,D,23000,15.65,1,0.44000000000000006,Y,3.0,18-25,"(49000.0, 63000.0]",154
24,55164,RENT,8.0,PERSONAL,C,23000,13.22,1,0.44000000000000006,Y,4.0,18-25,"(49000.0, 63000.0]",155
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,23000,12.87,1,0.44000000000000006,N,2.0,26-35,"(49000.0, 63000.0]",156
24,140250,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3.0,18-25,"(138000.0, 140250.0]",157
23,140250,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3.0,18-25,"(138000.0, 140250.0]",158
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.44000000000000006,N,4.0,18-25,"(3999.999, 35000.0]",159
24,60000,RENT,0.0,PERSONAL,B,23000,10.99,1,0.42,N,3.0,18-25,"(49000.0, 63000.0]",160
24,60000,RENT,2.0,PERSONAL,B,23000,11.11,1,0.42,N,3.0,18-25,"(49000.0, 63000.0]",161
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,23000,14.83,1,0.44000000000000006,Y,2.0,26-35,"(49000.0, 63000.0]",162
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,10.99,1,0.29,N,3.0,18-25,"(3999.999, 35000.0]",163
24,140250,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2.0,18-25,"(138000.0, 140250.0]",164
24,140250,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2.0,18-25,"(138000.0, 140250.0]",165
21,140250,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4.0,18-25,"(138000.0, 140250.0]",166
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,23000,16.82,1,0.44000000000000006,N,4.0,18-25,"(49000.0, 63000.0]",167
23,60000,RENT,3.0,PERSONAL,C,23000,12.73,1,0.42,N,3.0,18-25,"(49000.0, 63000.0]",168
23,60000,RENT,7.0,PERSONAL,B,23000,10.25,1,0.42,N,4.0,18-25,"(49000.0, 63000.0]",169
21,60000,RENT,6.0,EDUCATION,B,23000,10.99,1,0.42,N,4.0,18-25,"(49000.0, 63000.0]",170
25,61959,RENT,9.0,MEDICAL,C,23000,12.73,1,0.4,N,2.0,18-25,"(49000.0, 63000.0]",171
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,23000,14.96,1,0.44,Y,3.0,18-25,"(49000.0, 63000.0]",172
23,140250,MORTGAGE,7.0,EDUCATION,A,23000,10.99,0,0.14,N,2.0,18-25,"(138000.0, 140250.0]",173
21,140250,MORTGAGE,2.0,DEBTCONSOLIDATION,C,23000,13.99,0,0.13,N,2.0,18-25,"(138000.0, 140250.0]",174
24,140250,MORTGAGE,3.0,VENTURE,A,23000,7.49,0,0.12,N,4.0,18-25,"(138000.0, 140250.0]",175
26,140250,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3.0,26-35,"(138000.0, 140250.0]",176
25,140250,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2.0,18-25,"(138000.0, 140250.0]",177
24,140250,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4.0,18-25,"(138000.0, 140250.0]",178
24,66000,RENT,3.0,EDUCATION,B,23000,9.91,1,0.38,N,2.0,18-25,"(63000.0, 86000.0]",179
22,66000,RENT,6.0,EDUCATION,C,23000,13.06,1,0.38,Y,3.0,18-25,"(63000.0, 86000.0]",180
22,140250,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4.0,18-25,"(138000.0, 140250.0]",181
25,140250,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3.0,18-25,"(138000.0, 140250.0]",182
25,140250,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2.0,18-25,"(138000.0, 140250.0]",183
25,140250,MORTGAGE,9.0,PERSONAL,C,23000,14.35,0,0.12,N,3.0,18-25,"(138000.0, 140250.0]",184
24,140250,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,N,3.0,18-25,"(138000.0, 140250.0]",185
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,23000,10.99,1,0.42,Y,2.0,18-25,"(49000.0, 63000.0]",186
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,N,4.0,18-25,"(3999.999, 35000.0]",187
26,66996,RENT,10.0,PERSONAL,D,23000,15.21,1,0.37,Y,2.0,26-35,"(63000.0, 86000.0]",188
23,67000,RENT,3.0,EDUCATION,A,23000,7.9,1,0.37,N,4.0,18-25,"(63000.0, 86000.0]",189
24,67000,RENT,2.0,VENTURE,B,23000,10.99,1,0.37,N,3.0,18-25,"(63000.0, 86000.0]",190
24,68000,RENT,5.0,PERSONAL,D,23000,14.09,1,0.37,Y,3.0,18-25,"(63000.0, 86000.0]",191
25,69000,RENT,9.0,PERSONAL,D,23000,17.49,1,0.36,N,2.0,18-25,"(63000.0, 86000.0]",192
25,140250,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3.0,18-25,"(138000.0, 140250.0]",193
26,140250,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2.0,26-35,"(138000.0, 140250.0]",194
26,140250,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3.0,26-35,"(138000.0, 140250.0]",195
25,69996,RENT,9.0,EDUCATION,D,23000,15.21,1,0.36,N,3.0,18-25,"(63000.0, 86000.0]",196
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3.0,18-25,"(3999.999, 35000.0]",197
24,70000,RENT,3.0,EDUCATION,B,23000,11.86,1,0.36,N,4.0,18-25,"(63000.0, 86000.0]",198
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3.0,18-25,"(3999.999, 35000.0]",199
24,56100,RENT,7.0,MEDICAL,D,23000,16.49,1,0.38,N,4.0,18-25,"(49000.0, 63000.0]",200
25,66000,RENT,9.0,VENTURE,D,23000,15.33,1,0.38,Y,2.0,18-25,"(63000.0, 86000.0]",201
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,23000,11.58,1,0.38,N,4.0,26-35,"(63000.0, 86000.0]",202
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2.0,18-25,"(3999.999, 35000.0]",203
25,72612,RENT,9.0,MEDICAL,C,23000,13.11,1,0.34,N,2.0,18-25,"(63000.0, 86000.0]",204
23,74000,RENT,3.0,MEDICAL,B,23000,10.36,1,0.34,N,3.0,18-25,"(63000.0, 86000.0]",205
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,23000,10.36,1,0.33,N,2.0,18-25,"(63000.0, 86000.0]",206
24,140250,RENT,0.0,MEDICAL,C,22000,10.99,0,0.11,Y,2.0,18-25,"(138000.0, 140250.0]",207
21,140250,MORTGAGE,14.5,VENTURE,A,20000,6.54,0,0.1,N,4.0,18-25,"(138000.0, 140250.0]",208
25,140250,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4.0,18-25,"(138000.0, 140250.0]",209
26,140250,MORTGAGE,5.0,PERSONAL,A,15000,10.99,0,0.08,N,3.0,26-35,"(138000.0, 140250.0]",210
22,140250,MORTGAGE,3.0,VENTURE,C,10000,10.99,0,0.05,N,3.0,18-25,"(138000.0, 140250.0]",211
